id,x,y,color,sourceRadius,targetRadius,sourceX,sourceY,targetX,targetY
0100005,317.42713187327985,340.142213114032,#d5ece6,2,2,317.42713187327985,340.142213114032,901.9375652344088,841.2400947724897
0100006,205.53020629500992,237.1769332211465,#d5ece6,2,2,205.53020629500992,237.1769332211465,821.4670534225189,560.8123435189599
0100007,235.18360007260233,164.24862468091186,#d5ece6,2,3,235.18360007260233,164.24862468091186,893.536006569818,729.1554658051144
0100030,214.47033209543252,816.9327523475997,#b394c9,2,2,214.47033209543252,816.9327523475997,827.138928556915,905.605744033336
0100060,211.90392694681387,546.0348784990417,#9ccadd,1,1,211.90392694681387,546.0348784990417,953.0640430307143,944.5781998548476
0100090,208.93367546534884,548.6864115132157,#9ccadd,2,1,208.93367546534884,548.6864115132157,812.168671720739,386.3011690239748
0100100,204.3616222924134,263.09987790736744,#d5ece6,1,1,204.3616222924134,263.09987790736744,824.3216346359927,297.0649845062703
0100120,382.40875658377894,968.101182246196,#b394c9,2,2,382.40875658377894,968.101182246196,952.3944396632331,922.1200044572287
0100180,224.26468705691093,546.0571177282578,#9ccadd,1,1,224.26468705691093,546.0571177282578,822.2282098652256,814.8041716605215
0100210,345.6042474595993,868.5188320773663,#b394c9,2,2,345.6042474595993,868.5188320773663,803.676538586395,863.3102102098524
0100240,384.1908709803177,994.4214474747585,#b394c9,2,2,384.1908709803177,994.4214474747585,944.9677346932982,994.5246739824689
0100270,379.2683097432899,664.4531018204451,#9ccadd,3,4,379.2683097432899,664.4531018204451,1019.3511660171976,867.553688477062
0100300,370.67483140909064,666.7135952197822,#9ccadd,1,1,370.67483140909064,666.7135952197822,847.9694319608398,654.4604872321205
0100330,305.36306943743756,161.89552476631977,#d5ece6,2,2,305.36306943743756,161.89552476631977,872.3181260651014,483.7260402641283
0100360,364.63724387372815,965.6482332720565,#b394c9,2,2,364.63724387372815,965.6482332720565,922.1036986038274,803.8239977708258
0100390,359.05506144317565,409.7716191391177,#d5ece6,4,3,359.05506144317565,409.7716191391177,958.430665452452,365.81979133797915
0100420,297.1727094411636,399.91316236038136,#d5ece6,2,2,297.1727094411636,399.91316236038136,924.9043425359633,599.6703724164643
0100450,391.24510970201516,970.676526294926,#b394c9,1,1,391.24510970201516,970.676526294926,834.0546598599102,941.2613563109684
0100480,284.2852463535652,304.5578365645915,#d5ece6,1,1,284.2852463535652,304.5578365645915,895.8810181410707,665.2945616686478
0100510,315.4965663869376,968.8394084519902,#b394c9,2,2,315.4965663869376,968.8394084519902,895.7498175876551,918.9067199710818
0100540,386.172945335602,651.8750132241856,#9ccadd,2,2,386.172945335602,651.8750132241856,892.270148734474,670.9566614038289
0100600,374.87982384673853,983.202058446244,#b394c9,2,2,374.87982384673853,983.202058446244,974.6510367067544,989.1524847835229
0100630,267.5297604455829,421.7505530123029,#d5ece6,2,2,267.5297604455829,421.7505530123029,971.102833310135,629.8982133705935
0100660,350.3870042497164,659.5382429562607,#9ccadd,2,2,350.3870042497164,659.5382429562607,994.3103096970141,807.0569605320082
0100690,320.1353986589609,985.6550113236588,#b394c9,2,1,320.1353986589609,985.6550113236588,880.5709398986364,1046.52709447732
0100720,334.6782627873224,907.3094523354181,#b394c9,2,1,334.6782627873224,907.3094523354181,915.1156752102922,817.8580741500989
0100750,357.13885203605304,665.9467755497515,#9ccadd,1,1,357.13885203605304,665.9467755497515,1018.8748814180578,889.3747076214468
0100780,260.68885071117904,259.8825931678507,#d5ece6,1,1,260.68885071117904,259.8825931678507,855.9750094900165,578.0148482218503
0100810,368.1516627186654,617.8100002826094,#9ccadd,1,1,368.1516627186654,617.8100002826094,843.3999696676283,530.1926754001463
0100840,374.83206841270277,632.1060960634794,#9ccadd,2,1,374.83206841270277,632.1060960634794,899.0310663834902,621.5350038947221
0100870,388.1274617535658,987.6275721377737,#b394c9,1,1,388.1274617535658,987.6275721377737,936.1543946382269,1032.5891396714762
0100900,380.77992805389783,988.7641157015346,#b394c9,1,1,380.77992805389783,988.7641157015346,958.579239041319,935.470849153405
0100930,363.97141458471583,660.4461747580108,#9ccadd,2,2,363.97141458471583,660.4461747580108,934.590382087752,397.3014762876363
0100960,375.0737694572748,1005.2470710946519,#b394c9,1,1,375.0737694572748,1005.2470710946519,925.3158838311623,1021.1665989604624
0100990,369.8697293258509,294.7187830735607,#d5ece6,1,2,369.8697293258509,294.7187830735607,952.5939302160225,522.932128166469
0101020,356.85431001676534,395.66461635707464,#d5ece6,2,2,356.85431001676534,395.66461635707464,925.0232912807886,640.9707924436103
0101050,328.6639751777976,640.5181387782685,#9ccadd,1,2,328.6639751777976,640.5181387782685,890.795867331795,649.5851582788226
0101080,350.60240831953536,947.6215284481166,#b394c9,1,1,350.60240831953536,947.6215284481166,909.9624254713956,952.8106893488397
0101110,233.85962556456855,885.7171609034922,#b394c9,2,2,233.85962556456855,885.7171609034922,803.9665194436417,675.067101714781
0101140,358.54510838863854,630.3636942162743,#9ccadd,2,2,358.54510838863854,630.3636942162743,862.3785366596288,817.1817479486364
0101170,272.470613881212,969.0211295852193,#b394c9,2,2,272.470613881212,969.0211295852193,878.753645723559,982.9642097854676
0101200,360.23875711956055,974.6174894395864,#b394c9,1,1,360.23875711956055,974.6174894395864,869.3688883469965,862.8450849065943
0101230,393.56388174737504,977.6317809044855,#b394c9,2,2,393.56388174737504,977.6317809044855,976.9662437090451,1032.2058224020793
0101260,350.28206335130096,973.4515849808214,#b394c9,1,1,350.28206335130096,973.4515849808214,828.7347380615348,909.0432519441654
0101290,408.56297214357943,933.7068176182522,#b394c9,2,3,408.56297214357943,933.7068176182522,1027.7996242265044,953.7087185440387
0101320,298.13330486661096,856.146759348942,#b394c9,2,2,298.13330486661096,856.146759348942,920.6614724621032,819.4179423593603
0101350,352.0643465771667,927.819352098691,#b394c9,2,2,352.0643465771667,927.819352098691,955.3141523512053,986.8631556942855
0101380,335.0981190922012,416.8453389304733,#d5ece6,2,2,335.0981190922012,416.8453389304733,954.2263989015314,373.45915326551597
0101410,410.3610598196584,918.6008985765372,#b394c9,2,2,410.3610598196584,918.6008985765372,1033.5958730400082,952.3370763824624
0101440,291.98641259816964,403.0959902914999,#d5ece6,1,1,291.98641259816964,403.0959902914999,855.5442060280578,234.10506115940143
0101470,378.78574693097937,614.4370065681753,#9ccadd,2,1,378.78574693097937,614.4370065681753,911.9427826580231,583.8997696880615
0101530,378.88055747426915,980.0604524753828,#b394c9,2,2,378.88055747426915,980.0604524753828,866.8083663722717,978.6996553637455
0101560,311.1389202515337,586.5272547880563,#9ccadd,1,2,311.1389202515337,586.5272547880563,1010.8932703849036,848.4992492645954
