id,x,y,sourceRadius,targetRadius,color,sourceX,targetX,sourceY,targetY,index,vy,vx
0100005,901.9375652344088,841.2400947724897,2,2,#d5ece6,300,900,300,900,0,-0.006924192763176751,0.00044664437948305696
0100006,821.4670534225189,560.8123435189599,2,2,#d5ece6,300,900,300,600,1,-0.0032802268394694586,-0.004425404628125154
0100007,893.536006569818,729.1554658051144,2,3,#d5ece6,300,900,300,900,2,-0.009912926472205274,0.000020662086760814007
0100030,827.138928556915,905.605744033336,2,2,#b394c9,300,900,900,900,3,0.0032117276380327214,-0.004633710706761205
0100060,953.0640430307143,944.5781998548476,1,1,#9ccadd,300,900,600,900,4,0.010790347463624317,0.0022571493926849874
0100090,812.168671720739,386.3011690239748,2,1,#9ccadd,300,900,600,300,5,0.004708122592492602,-0.004564051446831022
0100100,824.3216346359927,297.0649845062703,1,1,#d5ece6,300,900,300,300,6,0.002972043837759708,-0.004531531183422917
0100120,952.3944396632331,922.1200044572287,2,2,#b394c9,300,900,900,900,7,0.03507738013406552,-0.042281018210263074
0100180,822.2282098652256,814.8041716605215,1,1,#9ccadd,300,900,600,900,8,-0.01325094450368337,-0.009421925558457559
0100210,803.676538586395,863.3102102098524,2,2,#b394c9,300,900,900,900,9,0.007544431288837339,-0.01898705886556829
0100240,944.9677346932982,994.5246739824689,2,2,#b394c9,300,900,900,900,10,0.008364440890292766,0.0051480776499480616
0100270,1019.3511660171976,867.553688477062,3,4,#9ccadd,300,900,600,900,11,-0.0011253792620108856,0.011060397929088112
0100300,847.9694319608398,654.4604872321205,1,1,#9ccadd,300,900,600,600,12,0.0005100725447868632,0.00046822790360576713
0100330,872.3181260651014,483.7260402641283,2,2,#d5ece6,300,900,300,600,13,-0.0040815718517531845,0.00005454846923936612
0100360,922.1036986038274,803.8239977708258,2,2,#b394c9,300,900,900,900,14,-0.01041837026441939,-0.00047391249853256934
0100390,958.430665452452,365.81979133797915,4,3,#d5ece6,300,900,300,300,15,0.005566503801590579,0.004323324418600248
0100420,924.9043425359633,599.6703724164643,2,2,#d5ece6,300,900,300,600,16,-0.00211900293662054,0.0029389049789752125
0100450,834.0546598599102,941.2613563109684,1,1,#b394c9,300,900,900,900,17,0.004446301698738991,-0.0024571942093909614
