id,diverse_1994,diverse_2016,total_1994,total_2016
0402370,0,1,2178,2083
0402400,1,0,5107,6247
0402430,1,0,6900,6382
0402460,-1,-1,14,6
0402490,0,1,80,45
0402530,-1,-1,4747,3664
0402600,0,0,657,379
0402690,1,1,4269,24651
0402740,1,1,60,202
0402760,1,1,228,114
0402790,0,0,1366,870
0402860,1,1,12252,9653
0402920,1,1,1148,9338
0403010,1,1,6096,5558
0403040,0,1,2101,1491
0403060,1,0,970,4682
0403080,0,0,466,217
0403150,1,1,1662,912
0403200,0,-1,597,605
0403240,-1,-1,1521,5292
0403290,-1,-1,2111,1388
0403310,1,1,622,407
0403400,0,1,13650,34776
0403420,1,1,9962,12428
0403450,1,1,12973,15460
0403500,1,1,2086,1618
0403550,1,1,393,285
0403660,-1,0,47,41
0403730,0,0,545,268
0403780,1,1,175,12097
0403820,1,1,1971,2037
0403860,1,-1,1230,354
0403870,0,1,3758,5692
0403900,0,0,174,85
0403950,-1,-1,1217,718
0403960,0,-1,7058,7291
0403990,1,1,233,4541
0404010,0,1,468,397
0404060,-1,-1,2749,1693
0404170,-1,1,55,76
0404230,0,1,14272,16452
0404280,0,1,5288,5466
0404290,1,1,1812,6839
0404320,1,1,1058,3401
0404380,0,1,1670,11381
0404410,0,1,155,368
0404440,0,1,1326,5641
0404500,1,1,4353,5869
0404530,-1,-1,90,119
0404570,1,1,1850,745
0404630,0,1,10060,12073
0404720,1,1,1037,6632
0404820,-1,0,647,534
0404860,-1,-1,83,130
0404920,1,1,51,61
0404970,0,1,67206,63179
0405030,1,1,1950,1178
0405070,0,1,1196,1191
0405100,1,1,18,28
0405190,0,1,1633,1124
0405220,1,1,279,176
0405320,1,1,1237,1388
0405340,-1,1,100,106
0405400,0,-1,2390,1637
0405430,0,-1,248,302
0405460,0,1,387,839
0405530,-1,-1,6473,5701
0405670,1,1,3888,470
0405730,0,1,53,18
0405760,-1,0,59,68
0405820,1,1,3589,2717
0405850,1,1,251,447
0405880,0,1,864,1013
0405930,0,1,30626,31737
0405980,1,1,2323,1913
0406000,1,0,122,77
0406030,1,1,230,75
0406070,-1,1,2428,2349
0406120,-1,-1,228,196
0406150,1,1,130,97
0406210,1,1,5348,10124
0406250,0,1,25141,35347
0406300,0,0,8633,6640
0406330,1,0,20681,25259
0406360,0,0,177,187
0406440,0,1,684,808
0406510,-1,0,263,122
0406580,0,1,2090,2138
0406630,0,0,125,90
0406730,0,0,5532,3948
0406740,-1,-1,1224,697
0406780,1,1,327,191
0406810,1,1,1089,6590
0406850,1,1,932,421
0406870,-1,-1,791,551
0406900,1,1,73,337
0406960,-1,-1,1633,1650
0407020,0,0,190,947
0407080,1,0,11407,9131
0407130,0,1,1917,1278
0407170,1,1,253,1539
0407200,-1,-1,773,556
0407240,1,1,2952,3078
0407300,1,1,2028,6363
0407380,1,-1,20,21
0407430,1,1,113,114
0407500,0,-1,131,225
0407520,0,-1,1413,3392
0407530,0,0,514,453
0407570,0,1,22520,23326
0407630,1,1,192,125
0407680,0,0,26,34
0407700,0,1,2375,2475
0407750,0,1,18783,33838
0407770,1,-1,27,14
0407820,0,0,2571,2546
0407860,1,1,202,194
0407890,-1,-1,2058,2949
0407920,0,1,96,110
0408020,-1,0,414,379
0408080,1,1,1239,848
0408130,1,1,581,497
0408170,0,0,14323,16119
0408230,0,0,684,367
0408280,-1,1,1500,2104
0408310,1,1,13460,11657
0408340,1,1,10409,13604
0408410,0,1,1495,1717
0408430,-1,0,72,102
0408460,-1,0,11,21
0408490,0,0,913,3074
0408520,1,0,3156,11036
0408550,1,1,637,1016
0408600,1,1,755,798
0408640,0,1,176,93
0408680,-1,-1,2841,1710
0408800,1,1,61920,46658
0408820,1,0,109,1954
0408850,0,1,1124,12617
0408880,1,0,56,104
0408910,0,0,196,115
0409060,0,1,23337,23306
0409090,1,0,464,204
0409120,1,0,104,76
0409160,-1,-1,2436,2266
0409190,0,1,1360,1436
0409250,1,1,1496,1140
0409310,1,1,789,639
0409390,0,-1,1050,1186
0409430,-1,-1,3259,1864
0409460,1,1,2676,2148
0409510,0,0,47,36
0409540,-1,0,94,36
0409570,1,1,21,36
0409600,1,1,9648,8552
0409630,1,0,7205,10859
0409733,0,1,1002,1035
0500001,0,0,1287,1319
0500009,-1,-1,1225,935
0500012,-1,-1,816,848
0500015,-1,-1,3751,4238
0500016,-1,-1,712,813
0500017,-1,0,2684,3301
0500019,0,1,2236,3193
0500020,-1,-1,668,585
0500021,-1,-1,626,525
0500023,1,1,2147,1272
0500026,0,-1,7319,4070
0500028,0,1,1446,1588
0500029,0,1,1418,1331
0500030,1,1,675,389
0500032,1,1,643,468
0500041,-1,1,403,414
0500042,1,1,1881,1998
0500043,-1,-1,3817,2661
0500044,1,1,3179,2874
0500045,1,1,1721,1246
0500046,-1,-1,973,1115
0500047,-1,0,1800,1629
0500048,0,0,902,778
0500049,0,1,1621,2386
0500051,1,0,686,802
0502250,-1,0,2619,3152
0502280,-1,-1,478,528
0502430,1,1,2412,1856
0502550,0,0,302,447
0502580,1,1,1882,1419
0502610,-1,-1,1167,1034
0502670,1,1,661,432
0502700,-1,0,1450,1270
0502730,1,1,766,830
0502790,-1,-1,758,1634
0502820,-1,-1,618,590
0502880,-1,0,1846,3332
0502960,-1,0,4424,5202
0503030,-1,0,925,1965
0503060,-1,1,5080,16609
0503090,-1,-1,819,1167
0503150,-1,1,1556,1987
0503240,-1,0,903,1023
0503300,1,1,517,497
0503320,1,0,4122,1513
0503420,-1,-1,404,363
0503450,-1,0,1485,1253
0503480,-1,-1,593,474
0503630,1,1,1262,534
0503640,-1,-1,948,2482
0503690,-1,1,5530,9253
0503710,-1,0,925,783
0503750,-1,0,5446,10397
0503770,-1,0,627,611
0503840,-1,-1,497,430
0503960,0,0,675,703
0504020,-1,-1,1405,1797
0504050,-1,-1,1039,883
0504080,-1,0,843,813
0504110,-1,-1,880,1147
0504170,-1,0,552,764
0504200,-1,-1,806,944
0504350,1,1,619,517
0504370,-1,-1,752,634
0504380,-1,1,1366,2610
0504410,-1,-1,1117,1387
0504560,-1,-1,494,492
0504590,0,1,6779,10198
0504680,-1,-1,604,707
0504740,-1,-1,612,472
0504800,1,1,2793,1823
0504860,-1,0,528,598
0504890,0,1,622,877
0504930,-1,1,1595,2104
0504980,-1,1,552,632
0505170,0,-1,1019,372
0505190,0,0,678,551
0505340,-1,-1,613,587
0505410,1,-1,1890,1290
0505430,-1,-1,1364,1423
0505470,1,1,1128,1078
0505500,1,1,2126,1359
0505550,-1,-1,930,638
0505580,-1,0,584,679
0505680,1,1,4886,4421
0505760,-1,0,842,1210
0505850,1,1,1107,767
0505970,-1,0,803,647
0506060,1,1,3928,2586
0506090,-1,0,1243,1955
0506120,-1,1,7378,9816
0506150,-1,-1,893,878
0506210,1,1,1387,813
0506240,1,1,537,494
0506270,1,0,4853,2594
0506330,1,1,12514,14829
0506360,-1,-1,850,1143
0506420,-1,0,1076,553
0506540,-1,1,1446,935
0506630,-1,-1,971,1060
0506690,-1,0,529,959
0506840,-1,0,990,1911
0506870,-1,1,1234,1312
0506900,-1,-1,2010,3560
0506930,-1,0,799,795
0506990,-1,0,1994,3769
0507110,1,1,887,774
0507140,0,0,269,392
0507170,-1,0,549,851
0507230,1,1,935,572
0507290,1,1,794,987
0507320,-1,-1,722,1266
0507350,-1,-1,1039,1211
0507380,-1,-1,2850,2635
0507530,0,1,494,673
0507560,-1,-1,1469,1740
0507620,-1,-1,730,597
0507680,0,-1,4012,1421
0507710,1,1,601,459
0507770,-1,-1,1454,1583
0507840,1,1,3232,2196
0507860,-1,1,680,863
0507890,1,1,3460,2824
0507920,-1,0,639,919
0507990,-1,-1,1043,886
0508040,1,0,6063,4538
0508130,-1,0,1893,2419
0508240,-1,-1,626,893
0508280,0,1,4528,5086
0508340,1,1,828,680
0508400,0,1,1114,1344
0508490,-1,0,414,348
0508610,-1,0,2805,4372
0508640,1,1,1217,1086
0508670,-1,1,2327,3558
0508700,-1,0,1084,1374
0508730,-1,0,806,869
0508940,-1,0,1077,747
0509000,1,1,23923,24383
0509060,1,1,1794,1812
0509150,-1,-1,504,605
0509190,-1,-1,675,728
0509240,1,1,2711,2059
0509270,-1,-1,516,487
0509330,-1,0,926,781
0509360,0,0,2284,814
0509390,0,1,2368,3898
0509420,1,1,903,579
0509480,-1,-1,806,888
0509510,0,0,832,390
0509540,0,0,810,1121
0509570,-1,-1,538,479
0509600,0,0,829,634
0509630,1,1,1473,1240
0509720,-1,-1,539,872
0509750,-1,0,1897,1737
0509780,1,1,537,405
0509840,1,1,2143,2020
0509990,-1,-1,567,471
0510080,-1,-1,377,514
0510170,-1,0,661,549
0510200,-1,-1,1277,1731
0510260,-1,-1,804,678
0510290,-1,-1,465,384
0510320,-1,0,601,715
0510380,1,1,1842,1932
0510410,-1,0,416,470
0510440,-1,1,2080,3420
0510560,-1,-1,491,451
0510680,1,1,8957,9015
0510920,-1,-1,386,422
0510950,1,0,2113,892
0510980,-1,-1,412,531
0511010,-1,-1,1505,1904
0511070,-1,-1,654,729
0511130,-1,0,1320,1133
0511220,-1,0,750,869
0511340,-1,-1,934,947
0511370,-1,-1,1040,928
0511610,-1,-1,1878,1952
0511700,-1,0,867,1750
0511730,-1,-1,403,600
0511760,-1,0,1253,1929
0511820,1,1,1140,999
0511850,1,1,20420,12926
0511880,-1,-1,640,667
0511970,-1,1,8737,15102
0512000,-1,-1,592,842
0512060,-1,1,4834,5451
0512090,-1,-1,763,816
0512180,-1,-1,411,426
0512210,-1,1,3626,4106
0512420,-1,-1,533,371
0512450,0,1,2513,3010
0512480,-1,-1,544,770
0512510,1,0,812,1235
0512520,1,1,2641,2328
0512540,-1,-1,1371,1592
0512570,-1,-1,469,528
0512630,-1,0,418,584
0512660,-1,1,8899,22269
0512930,1,1,584,321
0512960,1,1,2301,1615
0513080,-1,-1,2500,3828
0513110,1,1,5599,4500
0513230,-1,-1,590,997
0513350,-1,-1,855,914
0513380,-1,0,1060,2843
0513410,-1,1,5043,5897
0513530,-1,-1,2026,3255
0513560,-1,-1,461,388
0513680,-1,0,1685,1627
0513930,1,0,3584,2591
0514010,-1,0,1032,1120
0514020,-1,-1,647,684
0514040,-1,-1,519,442
0514140,-1,1,2890,2808
0514370,-1,-1,478,493
0514400,-1,-1,498,578
0514430,1,1,2872,2665
0514490,-1,-1,1009,757
0600001,0,1,2106,1094
0600006,-1,0,1739,2225
0600009,1,0,319,223
0600011,0,1,530,126
0600012,0,1,390,95
0600013,0,1,4603,11449
0600014,1,1,14500,20770
0600015,0,1,1273,708
0600016,1,1,11531,10831
0600017,1,1,11975,12735
0600018,1,1,683,267
0600019,1,1,3578,10608
0600020,0,1,10109,14627
0600021,-1,1,207,278
0600022,-1,-1,2085,3316
0600025,0,1,4792,6735
0600026,0,1,1203,785
0600027,1,1,13505,20874
0600028,1,1,11085,27916
0600029,0,1,7873,22700
0600031,0,1,68,14
0600032,1,1,6916,9686
0600033,1,0,2585,2283
0600034,1,1,2329,3903
0600035,0,-1,1409,2531
0600036,1,1,3085,9636
0600037,-1,1,599,513
0600038,0,0,153,57
0600039,1,0,1333,2589
0601620,1,1,21614,20322
0601650,0,1,4331,5476
0601710,1,1,2961,8321
0601770,1,1,10220,8813
0601860,1,1,2919,3692
