chunk_id,year,country,type,xmin,xmax,ymin,ymax,color
1,2018,AL,Renewable,0,0.002269608094610809,0,0.33245066381395816,#187077
1,2018,AL,Nuclear,0,0.002269608094610809,0.33245066381395816,0.33245066381395816,#e7d1c5
1,2018,AL,Conventional thermal,0,0.002269608094610809,0.33245066381395816,0.33245066381395816,#c04335
1,2018,NO,Renewable,0.002269608094610809,0.04196047906047305,0,0.324805294586182,#187077
1,2018,NO,Nuclear,0.002269608094610809,0.04196047906047305,0.324805294586182,0.324805294586182,#e7d1c5
1,2018,NO,Conventional thermal,0.002269608094610809,0.04196047906047305,0.324805294586182,0.33245066381395816,#c04335
1,2018,LU,Renewable,0.04196047906047305,0.04285876530001734,0,0.2871979549054984,#187077
1,2018,LU,Nuclear,0.04196047906047305,0.04285876530001734,0.2871979549054984,0.2871979549054984,#e7d1c5
1,2018,LU,Conventional thermal,0.04196047906047305,0.04285876530001734,0.2871979549054984,0.33245066381395816,#c04335
1,2018,GE,Renewable,0.04285876530001734,0.04606614586638874,0,0.2745752527677344,#187077
1,2018,GE,Nuclear,0.04285876530001734,0.04606614586638874,0.2745752527677344,0.2745752527677344,#e7d1c5
1,2018,GE,Conventional thermal,0.04285876530001734,0.04606614586638874,0.2745752527677344,0.33245066381395816,#c04335
1,2018,AT,Renewable,0.04606614586638874,0.06691940907289601,0,0.2636300884563283,#187077
1,2018,AT,Nuclear,0.04606614586638874,0.06691940907289601,0.2636300884563283,0.2636300884563283,#e7d1c5
1,2018,AT,Conventional thermal,0.04606614586638874,0.06691940907289601,0.2636300884563283,0.33245066381395816,#c04335
1,2018,LT,Renewable,0.06691940907289601,0.06789541133315351,0,0.2602518581285009,#187077
1,2018,LT,Nuclear,0.06691940907289601,0.06789541133315351,0.2602518581285009,0.2602518581285009,#e7d1c5
1,2018,LT,Conventional thermal,0.06691940907289601,0.06789541133315351,0.2602518581285009,0.33245066381395816,#c04335
1,2018,HR,Renewable,0.06789541133315351,0.07154950767246869,0,0.2326315000594301,#187077
1,2018,HR,Nuclear,0.06789541133315351,0.07154950767246869,0.2326315000594301,0.2326315000594301,#e7d1c5
1,2018,HR,Conventional thermal,0.06789541133315351,0.07154950767246869,0.2326315000594301,0.33245066381395816,#c04335
1,2018,ME,Renewable,0.07154950767246869,0.07253771293443968,0,0.2041955853882687,#187077
1,2018,ME,Nuclear,0.07154950767246869,0.07253771293443968,0.2041955853882687,0.2041955853882687,#e7d1c5
1,2018,ME,Conventional thermal,0.07154950767246869,0.07253771293443968,0.2041955853882687,0.33245066381395816,#c04335
1,2018,SE,Renewable,0.07253771293443968,0.1143277565528378,0,0.16301691710127986,#187077
1,2018,SE,Nuclear,0.07253771293443968,0.1143277565528378,0.16301691710127986,0.3012192047033814,#e7d1c5
1,2018,SE,Conventional thermal,0.07253771293443968,0.1143277565528378,0.3012192047033814,0.33245066381395816,#c04335
1,2018,DK,Renewable,0.1143277565528378,0.12196808784496889,0,0.17078842983472942,#187077
1,2018,DK,Nuclear,0.1143277565528378,0.12196808784496889,0.17078842983472942,0.17078842983472942,#e7d1c5
1,2018,DK,Conventional thermal,0.1143277565528378,0.12196808784496889,0.17078842983472942,0.33245066381395816,#c04335
1,2018,LV,Renewable,0.12196808784496889,0.12368418033837295,0,0.1298091976553578,#187077
1,2018,LV,Nuclear,0.12196808784496889,0.12368418033837295,0.1298091976553578,0.1298091976553578,#e7d1c5
1,2018,LV,Conventional thermal,0.12196808784496889,0.12368418033837295,0.1298091976553578,0.33245066381395816,#c04335
1,2018,PT,Renewable,0.12368418033837295,0.13984317127049534,0,0.164679997149115,#187077
1,2018,PT,Nuclear,0.12368418033837295,0.13984317127049534,0.164679997149115,0.164679997149115,#e7d1c5
1,2018,PT,Conventional thermal,0.12368418033837295,0.13984317127049534,0.164679997149115,0.33245066381395816,#c04335
1,2018,RO,Renewable,0.13984317127049534,0.15534661487013737,0,0.1453176601406062,#187077
1,2018,RO,Nuclear,0.13984317127049534,0.15534661487013737,0.1453176601406062,0.20444000410384255,#e7d1c5
1,2018,RO,Conventional thermal,0.13984317127049534,0.15534661487013737,0.20444000410384255,0.33245066381395816,#c04335
1,2018,ES,Renewable,0.15534661487013737,0.22480363789853833,0,0.12602156948036614,#187077
1,2018,ES,Nuclear,0.15534661487013737,0.22480363789853833,0.12602156948036614,0.19333900965889256,#e7d1c5
1,2018,ES,Conventional thermal,0.15534661487013737,0.22480363789853833,0.19333900965889256,0.3324506638139581,#c04335
1,2018,BA,Renewable,0.22480363789853833,0.22678438538423246,0,0.1550456860870838,#187077
1,2018,BA,Nuclear,0.22480363789853833,0.22678438538423246,0.1550456860870838,0.1550456860870838,#e7d1c5
1,2018,BA,Conventional thermal,0.22480363789853833,0.22678438538423246,0.1550456860870838,0.33245066381395816,#c04335
1,2018,MK,Renewable,0.22678438538423246,0.22815824573611806,0,0.12104156351831241,#187077
1,2018,MK,Nuclear,0.22678438538423246,0.22815824573611806,0.12104156351831241,0.12104156351831241,#e7d1c5
1,2018,MK,Conventional thermal,0.22678438538423246,0.22815824573611806,0.12104156351831241,0.33245066381395816,#c04335
1,2018,RS,Renewable,0.22815824573611806,0.23776546851913732,0,0.11661155907944278,#187077
1,2018,RS,Nuclear,0.22815824573611806,0.23776546851913732,0.11661155907944278,0.11661155907944278,#e7d1c5
1,2018,RS,Conventional thermal,0.22815824573611806,0.23776546851913732,0.11661155907944278,0.3324506638139581,#c04335
1,2018,IT,Renewable,0.23776546851913732,0.312182103403111,0,0.11419565776101918,#187077
